Gene1,Gene2,Avg_Edge_Weight,NumberOfCancerType
ZER1|10444,USP20|10868,1.95,8
ZMYM6|9204,ZMYM1|79830,2.1500000000000004,10
ZNF146|7705,LSM14A|26065,2.0,9
ZNF230|7773,ZNF226|7769,2.05,8
ZNF384|171017,ATN1|1822,2.1,13
ZNF444|55311,FIZ1|84922,2.0,10
ZNF45|7596,ZNF230|7773,2.1500000000000004,10
ZNF687|57592,PI4KB|5298,2.1,9
ZNF7|7553,ZNF250|58500,2.2,11
ZNF787|126208,EPN1|29924,2.0,8
ZNF787|126208,ZNF444|55311,1.9,9
BRF2|55290,ASH2L|9070,2.0,11
CENPF|1063,ASPM|259266,2.05,12
COL6A3|1293,COL5A1|1289,2.15,8
CPSF1|29894,ADCK5|203054,1.8,11
CXorf36|79742,CLEC14A|161198,1.9,10
DAD1|1603,C14orf119|55017,1.9,12
DDX49|54555,CCDC124|115098,1.9,8
DHX16|8449,ABCF1|23,2.4,8
DRAM2|128338,CEPT1|10390,2.2,11
EDC4|23644,E2F4|1874,1.8,10
EIF4A1|1973,C1QBP|708,2.1500000000000004,10
FAM76B|143684,ANKRD49|54851,1.85,8
FNIP1|96459,AFF4|27125,1.85,8
